pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
5.93,0.698,21.36,19520,600,,,,,,,,50.8,3,0,60,4,1,19.88727858
6.14,0.5,11.6,16300,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,83.75
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,30,-33.07692308
5.1,,22,,600,38.6,5.8,1.2,2.5,8.3,0.3,52,,3.3,2.8,70,3,28,7.010980254
7.89,2.24,10.6,2500,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,16.4,0.36,,10,180,-208.5106383
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,3,28,40
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,120,26.05042017
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,3,30,30.71895425
7.9,1.49,9.9,3900,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,8.62,0.24,,10,180,-93.67088608
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,2,14,48.36
6.31,0.9,23.4,25800,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,28.78
5.93,0.698,21.36,19520,600,,,,,,,,79.3,3,0,60,4,28,54.99963215
7.75,0.04887,,5960,400,63.28,15.76,3.87,0.83,,,16.12,2.94,3.34,0,70,1,15,45.77262662
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,1,7,10.71
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,10,56,95.98
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,365,12.80487805
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,365,47.78761062
7.43,0.417,,5550.6,550,85.2,1.021,1.52,12.259,10.82,0.12,,,33.45,0,70,1,15,7.63
5.67,0.49,10.2,17300,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,12.7,0.36,,10,180,40.36511156
7.65,0.38,,,350,38.4,0.49,5.33,11.6,7.97,3.28,,2.41,1.36,0.76,,3,6,62.23892177
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,3,1095,20.12445773
5.93,0.698,21.36,19520,600,,,,,,,,46.2,3,0,60,4,7,26.19385696
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,120,31.81818182
4.34,0.09,3.64,2200,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,0.5,0.36,,10,180,28.57142857
8.9,,17.5,16000,700,81.3,0,3.75,16.5,10,,21.2,,4.7,0,50,3,90,55.78660226
5.93,0.698,21.36,19520,600,,,,,,,,79.3,3,0,60,4,56,64.17139164
7.65,0.38,,,200,55.6,0.58,6.67,37.1,6.31,1.8,,4.59,1.36,0.09,,3,6,57.20788762
5.93,0.698,21.36,19520,600,,,,,,,,42.5,3,0,60,4,56,-50.68063839
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,1,60,12.97
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,395,1.529051988
6.21,0.8,,20240,500,49,1.1,2.08,47.82,9.2,4.8,35,17.2,"	41",0,70,1.5,42,14.59838939
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,30,25.46583851
6.2,0.09,,23800,650,86.6,2.6,2.4,8.3,12.2,0.2,9.3,32.5,9,0,70,2.5,30,25.32
"	6.8","	2.7",15.8,14800,550,58.05,4.06,2.5,35.39,"	9.4",5.4,,"	53","	1.422",0,70,2.5,45,16.16277513
6.21,0.8,,20240,500,55,1.6,2.53,40.87,9.6,5.2,45,29.4,"	41",0,70,1.5,42,15.98643998
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,3,60,49.33
4.68,0.06,11.7,13400,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,0.5,0.33,,10,180,14.28571429
8.4,0.19,,14900,,76.5,,2.8,19.8,10.7,1.9,,9.8,39.9,0,65,1,50,7.341820488
7.23,3.01,7.92,3120,600,79.12,0,1.85,19.03,7.04,0.48,38.98,151.25,27.8,0,50,1,45,41.89
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,365,2.064896755
5.93,0.698,21.36,19520,600,,,,,,,,47.2,3,0,60,4,56,-57.74540071
5.33,0.076,7.03,4390.6,400,36.34,2.08,1.95,12.63,9.45,1.33,47,3.46,7.21,0.53,70,3,60,49.12
8.03,0.083,10.36,20600,600,,,,,8.73,2.33,15.04,42.16,1.97,0,70,0.4,14,22.78903936
4.29,,16.34,54984,300,12.07,,1.79,11.15,9.98,,27.13,25.94,3.28,0,60,5,25,11.61
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,10,28,42.75
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,120,29.22077922
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,0,42.33128834
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,1,20.91954023
7.89,2.24,10.6,2500,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,16.4,0.35,,10,180,-72.34042553
5.33,0.076,7.03,4390.6,400,36.34,2.08,1.95,12.63,9.45,1.33,47,3.46,7.21,0.53,70,1,7,16.63
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,3,15,22.26720648
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,485,40.83601286
7.65,0.38,,,200,51.5,2.06,6.24,34.2,5.26,6.81,,5.05,1.36,0.38,,3,6,59.49082021
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,395,41.61290323
5.93,0.698,21.36,19520,600,,,,,,,,48.8,3,0,60,4,1,-29.46127946
7.87,2.6,37.8,78900,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,15
6.8,0.32,16.7,,500,29.3,1.83,,,9.5,3.36,,14.5,5.9,0.005,,1,120,32.94117647
8.03,0.083,10.36,20600,600,,,,,8.73,2.33,15.04,42.16,1.97,0,70,0.6,14,35.74449852
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,1,7,58.48
5.33,0.076,7.03,4390.6,400,48.57,1.83,2.6,15,10.13,5.56,32,2.3,7.21,0.68,70,1,150,11.26
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,2.5,7,19.55
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,365,1.510574018
6.31,0.9,23.4,25800,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,22.21
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,2,28,28.24
5.93,0.698,21.36,19520,600,,,,,,,,79.4,3,0,60,4,56,60.5253714
5.93,0.698,21.36,19520,600,,,,,,,,41.1,3,0,60,4,28,35.35306037
7.44,0.2677,,49080,500,66.15,0.88,2.72,30.25,10.01,1.72,,63.68,1.93,0,60,5,7,1.531696133
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,5,25,36.53
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,2,7,0.7
7.79,,12.94,17940,400,79,0.98,1.51,10.2,8.41,,,121.6,14.59,0.025,75,2,35,3.45
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,485,21.96531792
7.23,3.01,7.92,3120,600,79.12,0,1.85,19.03,7.04,0.48,38.98,151.25,27.8,0,50,2,45,58.21
6.77,,5.42,8565,400,66.21,4.21,3.71,,9.91,,17.35,2.41,6.54,0,70,2,30,22.49464291
5.6,,10.4,32500,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,30,55.11517615
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,30,-1.290322581
5.1,,22,,600,87.3,1.6,1.9,6.4,8.3,0.4,2.8,,3.3,0,70,3,28,26.03421741
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,30,-12.42236025
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,3,150,43.4
6.2,0.21,15,,500,29.3,1.83,,,9.5,3.36,,14.5,3.3,0.005,,2,120,88.88888889
5.93,0.698,21.36,19520,600,,,,,,,,78.2,3,0,60,4,7,46.62083053
6.7,,,3320,300,13.24,0.68,1.15,2.59,10.98,,82.35,18.15,1.8,0,70,2,77,21.95121951
7.3,0.25,11.3,18300,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,1.81,0.36,,10,180,36.36363636
7.23,3.01,7.92,3120,600,76.23,0,3.36,20.4,10.23,5.55,38.68,164.73,27.8,0,50,0.5,45,19.92
"	6.8","	2.7",15.8,14800,550,58.05,4.06,2.5,35.39,"	9.4",5.4,,"	53","	1.422",0,70,5,45,59.72267076
8.47,1.3,14.5,21900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,-0.83
8.4,0.19,,14900,,73.1,,3.2,24.2,9.2,1.4,,6.1,39.9,0,65,10,50,11.62153746
5.93,0.698,21.36,19520,600,,,,,,,,39.7,3,0,60,4,56,-44.79772253
7.23,3.01,7.92,3120,600,76.23,0,3.36,20.4,10.23,5.55,38.68,164.73,27.8,0,50,2,45,50.85
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,485,-1.92926045
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,485,7.514450867
8.03,,,,500,30.09,0.27,1.54,11.94,11.55,,56.16,12.83,57.1,0,70,5,7,12.86820619
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,485,47.97687861
6.77,,5.42,8565,400,63.72,1.17,3.29,,9.25,,10.29,3.73,6.54,0,70,4,30,21.58324181
6.31,0.9,23.4,25800,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,18.1
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,2,15,22.87449393
8.47,1.3,14.5,21900,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,85.05
8.4,0.19,,14900,,76.5,,2.8,19.8,10.7,1.9,,9.8,39.9,0,65,5,50,13.4442073
5.93,0.698,21.36,19520,600,,,,,,,,78.2,3,0,60,4,56,53.29314095
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,10,14,97.59
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,10,7,18.88
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,2,56,35.71
5.6,,10.4,32500,700,81.3,0,3.75,16.5,10,,21.2,,3.2,0,50,3,90,31.50912106
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,2,30,28.97603486
6.21,0.8,,20240,500,57,2.5,2.08,38.42,10.1,5.4,54,"	49.9","	41",0,70,1.5,42,20.57202783
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,120,-7.56302521
6.77,,5.42,8565,400,74.55,1.39,3.54,,9.46,,11.91,5.31,6.54,0,70,2,30,3.485235308
5.33,0.076,7.03,4390.6,400,54.98,1.5,2.24,13.28,10.41,8.89,28,2.01,7.21,0.48,70,3,28,38.21
7.55,,11.37,13640,700,55.5,1.77,1.05,7.9,10.8,,34.5,212,1.28,0,60,2,15,38.14954205
7.65,0.38,,,350,31.8,1.65,3.42,11.8,5.82,0.62,,7.89,1.36,0.89,,3,6,52.76869945
5.1,,22,,600,83.2,2.1,1.2,5.3,10.3,3.9,8.3,,3.3,0,70,3,28,7.862310606
5.93,0.698,21.36,19520,600,,,,,,,,48.8,3,0,60,4,7,-41.27494208
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,120,21.05263158
"	8.2","	2.7",24.1,5100,600,69.8,0.67,2.8,19.7,8.8,0.78,,319,20,0,65,5,60,25.53191489
6.2,0.21,15,,500,29.3,1.83,,,9.5,3.36,,14.5,3.3,0.005,,1,120,62.22222222
6.14,0.5,11.6,16300,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,82.01
7.7,0.72,,,450,56.29,0.56,3.02,,6.6,1.485,43.4,186.79,20.9,0,70,0.5,1,9.195402299
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,3,7,53.41
7.55,,11.37,13640,700,56.2,1.19,1.64,4.5,10.1,,40.5,85.4,1.28,0,60,2,15,33.08520963
6.7,,,3320,300,35.79,2.81,3.19,15.42,9.7,,42.76,2.88,1.8,0,70,5,77,12.19512195
8.9,,17.5,16000,700,75.4,0,3.7,13.9,10.4,,71.7,,4.7,0,50,3,30,58.69413364
7.87,2.6,37.8,78900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,7.95
6.14,0.5,11.6,16300,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,0.3
5.93,0.698,21.36,19520,600,,,,,,,,62.3,3,0,60,4,56,21.52204593
5.6,,10.4,32500,700,81.3,0,3.75,16.5,10,,21.2,,3.2,0,50,3,30,45.88414634
7.33,2.97,3.96,3944,450,42.3,4.5,,,10,2.4,22.5,2.51,2.86,0,40,3,14,40
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,5,28,83.99
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,395,16.51090343
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,0,31.46067416
7.44,0.2677,,49080,500,53.5,2.17,2.66,41.67,9.96,1.61,,60.21,1.93,0,60,5,7,0.825467693
7.7,0.72,,,450,5.66,0.66,0.77,,7.15,2.64,12.6,32.14,20.9,0,70,5,30,7.755042649
8.47,1.3,14.5,21900,650,75.6,0.25,3.23,18.9,3.25,0.421,1.66,0.81,50,0,47.5,5,140,52.74
7.23,3.01,7.92,3120,600,76.23,0,3.36,20.4,10.23,5.55,38.68,164.73,27.8,0,50,3,45,58.63
7.9,1.49,9.9,3900,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,8.62,0.33,,10,180,-94.93670886
7.6,,,,500,9.06,"	0.82",0.89,4.89,11.33,,84.34,37.55,57.1,0.127,70,5,30,39.27481514
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,2.5,25,21.73
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,1,14,43.47
8.03,0.083,10.36,20600,600,,,,,"	10.37",2.39,"	31.58 ",11.07,1.97,0,70,0.2,14,33.54760897
5.93,0.698,21.36,19520,600,,,,,,,,48.8,3,0,60,4,56,-69.57343488
8.03,0.083,10.36,20600,600,,,,,8.98,"	1.95",17.22,12.22,1.97,0,70,0.2,14,18.06104528
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,485,30.03412969
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,1,7,18.18
8.9,,17.5,16000,700,81.3,0,3.75,16.5,10,,21.2,,4.7,0,50,3,60,9.886547812
7.65,0.38,,,350,63.9,1.49,4.74,13.8,8.28,3.11,,6.89,1.36,0.08,,3,6,57.75956772
5.93,0.698,21.36,19520,600,,,,,,,,50.8,3,0,60,4,28,50.32856919
5.93,0.698,21.36,19520,600,,,,,,,,75.3,3,0,60,4,56,47.25471898
5.7,0.15,11.7,4872,500,20.5,2.6,,,10.2,0.82,,,4.8,0.02,75,0.5,14,18.71
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,1,45,38.94472362
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,395,-6.129032258
"	6.8","	2.7",15.8,14800,550,58.05,4.06,2.5,35.39,"	9.4",5.4,,"	53","	1.422",0,70,2.5,45,20.25270467
5.6,,10.4,32500,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,60,22.0754717
5.93,0.698,21.36,19520,600,,,,,,,,47.3,3,0,60,4,1,18.84057971
4.29,,16.34,54984,300,12.07,,1.79,11.15,9.98,,27.13,25.94,3.28,0,60,2.5,7,2.33
3.63,0.22,2.88,1000,450,29.13,1.5,1.76,12.79,10.59,0.4,54.44,5.68,0.5,0.36,,10,180,14.28571429
7.75,0.04887,,5960,400,63.28,15.76,3.87,0.83,,,16.12,2.94,3.34,0,70,0.5,15,37.30115222
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,3,60,49.97
7.89,2.24,10.6,2500,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,16.4,0.24,,10,180,-151.0638298
